Base Name;Cell Position;Fiber Position;Label;Index
TL3_003;(-155.88607788085938, 137.3197784423828, -74.20635223388672);(-128.67283630371094, 116.65430450439453, -67.73499298095703);2;102
TL3_004;(-147.4892120361328, 137.47177124023438, -69.3869857788086);(-119.77925109863281, 115.97261047363281, -64.99925231933594);2;103
TL3_005;(-155.4796905517578, 122.64102935791016, -71.92241668701172);(-124.19133758544922, 100.6809310913086, -67.50065612792969);2;104
TL3_006;(-151.45669555664062, 131.19064331054688, -80.95548248291016);(-123.67931365966797, 110.73589324951172, -74.45861053466797);2;105
TL3_007;(-172.74754333496094, 139.9822998046875, -59.49945831298828);(-143.43768310546875, 122.53125762939453, -52.56193923950195);2;106
TL3_008;(-146.83180236816406, 135.80506896972656, -77.01561737060547);(-121.30467987060547, 114.37515258789062, -68.51634216308594);2;107
TL3_009;(-184.45867919921875, 157.80906677246094, -54.85674285888672);(-151.03309631347656, 138.29747009277344, -46.44889831542969);2;108
TL3_010;(-102.57533264160156, 172.22421264648438, -97.30482482910156);(-82.22927856445312, 144.70770263671875, -87.08040618896484);2;109
TL3_011;(-137.0164031982422, 174.9788818359375, -81.05243682861328);(-112.07696533203125, 150.7378692626953, -69.60550689697266);2;110
TL3_012;(-136.36036682128906, 157.34523010253906, -83.05419158935547);(-111.98497772216797, 134.4066162109375, -72.61190032958984);2;111
TL3_013;(-143.9566650390625, 152.21661376953125, -64.03483581542969);(-112.36544799804688, 122.78215026855469, -58.67771911621094);2;112
TL3_014;(-144.9484405517578, 178.65777587890625, -75.64899444580078);(-118.53237915039062, 155.50491333007812, -64.14800262451172);2;113
TL3_015;(-139.23207092285156, 151.9835205078125, -68.24455261230469);(-112.73432159423828, 128.83262634277344, -60.02410888671875);2;114
TL3_016;(-113.44903564453125, 159.26849365234375, -80.81034088134766);(-90.96398162841797, 133.34188842773438, -70.30416870117188);2;115
TL3_017;(-119.4601058959961, 166.01162719726562, -68.48539733886719);(-98.96197509765625, 140.07418823242188, -59.992984771728516);2;116
TL3_018;(-118.22373962402344, 166.8437957763672, -80.8996810913086);(-94.58064270019531, 137.8837890625, -70.4028549194336);2;117
TL3_019;(-146.71974182128906, 177.77609252929688, -79.77452087402344);(-101.54962158203125, 135.39083862304688, -66.40103149414062);2;118
TL3_020;(-107.80510711669922, 146.6185302734375, -77.5914535522461);(-86.01924133300781, 120.2015151977539, -73.25066375732422);2;119
TL3_021;(-114.65928649902344, 156.65525817871094, -63.685794830322266);(-93.89788055419922, 131.5025177001953, -58.10247802734375);2;120
TL3_022;(-113.74785614013672, 173.3202362060547, -66.54578399658203);(-91.46684265136719, 145.82974243164062, -58.999515533447266);2;121
TL3_023;(-107.9855728149414, 170.77984619140625, -78.99638366699219);(-88.60342407226562, 144.3484344482422, -73.47367095947266);2;122
TL3_024;(-99.33032989501953, 153.2012939453125, -87.01859283447266);(-77.96085357666016, 127.14472961425781, -81.5282974243164);2;123
TL3_001;(-147.79185485839844, 124.19560241699219, -87.88507080078125);(-120.55675506591797, 104.2789077758789, -80.4153060913086);2;100
TL3_001;(147.80760192871094, -48.23844528198242, 144.11492919921875);(120.45342254638672, -44.72109603881836, 129.58470153808594);3;100
TL3_006;(164.3626251220703, -48.80935287475586, 127.04451751708984);(133.04151916503906, -45.264102935791016, 112.54138946533203);3;105
TL3_007;(171.25245666503906, -48.017696380615234, 115.7401351928711);(142.73460388183594, -45.12165451049805, 95.43805694580078);3;106
TL3_008;(154.55377197265625, -48.19493865966797, 154.98439025878906);(122.43401336669922, -44.624847412109375, 130.48365783691406);3;107
TL3_009;(176.9286346435547, -50.19093704223633, 117.14325714111328);(143.76109313964844, -46.70252990722656, 89.56819152832031);3;108
TL3_010;(116.73133850097656, -83.77578735351562, 157.53646850585938);(93.77072143554688, -76.29229736328125, 138.20750427246094);3;109
TL3_011;(163.370361328125, -93.0211181640625, 120.24080657958984);(126.92303466796875, -78.49927520751953, 90.29610443115234);3;110
